typecode,status,train_flights,openap_2_6_2,ps_model,bada3,bada4,anp,apd_performance_similarity,emissions_databank_engine,notes,segment,openap_2_4,anp_official_substitute,apd_listed,apd_vat_ias_kt,engine_designations,engine_designation_source,faa_acd_model_bada
BCS3,no_dynamics(A320 fallback),1760,none,native,unknown,unknown,substitute:737700,ICAO Code: BCS1 Notes: Lower rates of climb due to higher MTOM,family:16PW112 04P20PW197 16PW111 04P20PW196,EDB family match (reading): PW1521G-3/PW1524G-3 (TCDSN) -> EDB PW1521G / PW1524G,airliner,none,737700,yes,140,PW1521G-3|PW1524G-3,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Bombardier CS300
P28A,no_dynamics(A320 fallback),1335,none,none,yes:3.8-model,unknown,native:PA28,No data,,ANP native = reading of ANP description; ANP ID(s) carry no approach D/R coefficient (fixed-point profiles only),piston_ga,none,,yes,65,,,Piper PA-28-161
CRJ7,no_dynamics(A320 fallback),808,none,synonym:CRJ9,yes:3.8-synonym:CRJ9,unknown,substitute:CL601,No data,07P27GE223 5GE083,,airliner,none,CL601,yes,135,CF34-8C1|CF34-8C5B1,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Bombardier CRJ-700
E55P,no_dynamics(A320 fallback),778,none,none,unknown,unknown,substitute:CNA560XL,No data,,,business_jet,none,CNA560XL,yes,115,PW535E,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Embraer EMB-505 Phenom 300
BCS1,no_dynamics(A320 fallback),607,none,native,unknown,unknown,substitute:737500,ICAO Code: BCS3 Notes: Better rates of climb (lower MTOM),04P20PW196 16PW111,,airliner,none,737500,yes,135,PW1524G,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Bombardier CS100
CL35,no_dynamics(A320 fallback),585,none,none,unknown,unknown,none,ICAO Code: CL30 Notes: CL35 has a bit more range,01P14HN011,,business_jet,none,,yes,125,HTF7350,EUROCONTROL APD power plant,Bombardier Challenger 350
C68A,no_dynamics(A320 fallback),523,none,none,unknown,unknown,none,not in APD (page returns 'No'),,,business_jet,none,,no,,,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Cessna 680A Citation Latitude
PC12,no_dynamics(A320 fallback),336,none,none,yes:3.8-synonym:BE9L,unknown,none,No data,,ANP substitution table excludes light props (MTOW<8618 kg),turboprop,none,,yes,85,,,Pilatus PC-12/45
C700,no_dynamics(A320 fallback),335,none,none,unknown,unknown,none,not in APD (page returns 'No'),,,business_jet,none,,no,,,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Cessna Citation Longitude
C56X,openap_2_4_synonym,327,synonym:C550,none,yes:3.8-synonym:C560,unknown,native:CNA560XL,No data,,OpenAP drag-polar synonym C56X->C550; ANP native = reading of ANP description,business_jet,synonym:C550,CNA560XL,yes,117,PW545A|PW545B|PW545C,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Cessna Citation XLS+
CL60,no_dynamics(A320 fallback),256,none,none,yes:3.8-model,unknown,native:CL601|CL600,No data,01P05GE189 07P05GE220 1GE034 1GE035 5GE084,ANP native = reading of ANP description,business_jet,none,CL601,yes,130,CF34-1A|CF34-3A|CF34-3A1|CF34-3A2|CF34-3B,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Canadair Challenger 604
CL30,no_dynamics(A320 fallback),254,none,none,yes:3.8-synonym:F2TH,unknown,substitute:CL600,ICAO Code: CL35 Notes: CL30 has a bit less range,01P14HN011 11HN003,,business_jet,none,CL600,yes,125,AS907-1-1A|AS907-2-1A,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Bombardier Challenger 300
E545,no_dynamics(A320 fallback),222,none,none,unknown,unknown,substitute:CNA750,not in APD (page returns 'No'),family:01P14HN014 01P14HN015 01P14HN016,EDB family match (reading): AS-907-3-1E (TCDSN) -> EDB AS907-3-1E-A1/-A2/-A3 (HTF7500E),business_jet,none,CNA750,no,,AS-907-3-1E,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Embraer EMB-545 Legacy 450
C25B,no_dynamics(A320 fallback),214,none,none,yes:3.8-synonym:C560,unknown,substitute:CNA525C,No data,,,business_jet,none,CNA525C,yes,108,FJ44-3A,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Cessna Citation CJ3
C208,no_dynamics(A320 fallback),202,none,none,yes:3.8-synonym:PA27,unknown,native:CNA208,No data,,ANP native = reading of ANP description,turboprop,none,,yes,75,,,Cessna 208B
B712,no_dynamics(A320 fallback),188,none,native,yes:3.8-model,unknown,native:717200,No data,4BR002 4BR004 4BR005 4BR007,ANP native = reading of ANP description,airliner,none,717200,yes,139,BR700-715A1-30|BR700-715C1-30,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Boeing B717-200
E75S,no_dynamics(A320 fallback),183,none,native,unknown,unknown,native:EMB175,not in APD (page returns 'No'),07P27GE226 07P27GE227,ANP native = reading of ANP description,airliner,none,EMB175,no,,CF34-8E5|CF34-8E5A1,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Embraer ERJ 170-200 IGW
GLF4,no_dynamics(A320 fallback),175,none,none,yes:3.8-synonym:FA7X,unknown,native:GIV,No data,11RR048,ANP native = reading of ANP description,business_jet,none,GIV,yes,140,Tay 611-8|Tay 611-8C,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Gulfstream IV
B350,no_dynamics(A320 fallback),172,none,none,yes:3.8-synonym:PAY3,unknown,none,No data,,ANP substitution table excludes light props (MTOW<8618 kg),turboprop,none,,yes,110,,,Beechcraft Super King Air 350
GLF5,openap_2_4_synonym,163,synonym:GLF6,native,yes:3.8-synonym:FA7X,unknown,native:GV,No data,01P06BR014 3BR001 4BR008,OpenAP drag-polar synonym GLF5->GLF6; ANP native = reading of ANP description,business_jet,synonym:GLF6,GV,yes,140,BR700-710A1-10|BR700-710C4-11,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Gulfstream G550
C750,no_dynamics(A320 fallback),159,none,none,yes:3.8-model,unknown,native:CNA750,No data,6AL022 6AL023 6AL024 8AL025,ANP native = reading of ANP description,business_jet,none,CNA750,yes,130,AE3007|AE3007 C|AE3007 C1,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Cessna Citation X
GLEX,no_dynamics(A320 fallback),159,none,none,yes:3.8-synonym:C750,unknown,substitute:F10065,No data,01P04BR013,,business_jet,none,F10065,yes,125,BR700-710A2-20,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Bombardier Global 6000
S22T,no_dynamics(A320 fallback),157,none,none,unknown,unknown,none,not in APD (page returns 'No'),,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,Cirrus SR22T
G280,no_dynamics(A320 fallback),156,none,none,unknown,unknown,substitute:EMB145,No data,01P11HN012,,business_jet,none,EMB145,yes,134,AS907-2-1G,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Gulfstream G280
SR22,no_dynamics(A320 fallback),148,none,none,yes:3.8-synonym:TRIN,unknown,none,No data,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,70,,,Cirrus SR22
A306,openap_2_4_synonym,145,synonym:A332,native,yes:3.8-model,unknown,native:A300-622R,No data,1GE014 1GE018 1GE020 1PW030 1PW048 2GE036 2GE038 2GE039 3GE056,OpenAP drag-polar synonym A306->A332; ANP native = reading of ANP description,airliner,synonym:A332,A300-622R,yes,139,CF6-80C2A1|CF6-80C2A3|CF6-80C2A5|CF6-80C2A5F|JT9D-7R4H1|PW4158,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Airbus A300B4-622
H25B,no_dynamics(A320 fallback),127,none,none,yes:3.8-synonym:H25A,unknown,substitute:IA1125,No data,1AS002,,business_jet,none,IA1125,yes,125,TFE731-3|TFE731-3-1H|TFE731-3R-1H|TFE731-50R|TFE731-5BR|TFE731-5R-1H,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Hawker 800XP
